#SpecName	Band	ew(A)	ew_error(A)	Flux	Flux_error
templates-2dF_OBall/B0.5-II-2dF0669.dat	OII/4416	0.0494290946537	0.0	-0.0452006524537	0.0
templates-2dF_OBall/B0.5-II-2dF0669.dat	HeI/4471	0.53338702278	0.0	-0.480436838998	0.0
templates-2dF_OBall/B0.5-II-2dF0669.dat	MgII/4481	-0.0455998635914	0.0	0.0410434305668	0.0
templates-2dF_OBall/B0.5-II-2dF0669.dat	HeII/4541	0.131307356866	0.0	-0.118438930897	0.0
templates-2dF_OBall/B0.5-II-2dF0669.dat	SiIII/4553	0.0600371475474	0.0	-0.0542400998228	0.0
templates-2dF_OBall/B0.5-II-2dF0669.dat	OII+CIII/4645	0.221195688945	0.0	-0.202079117298	0.0
templates-2dF_OBall/B0.5-II-2dF0669.dat	HeII/4686	0.201254801127	0.0	-0.183664948135	0.0
templates-2dF_OBall/B0.5-II-2dF0837.dat	CaIIK/3928	0.304805602861	0.0	-0.278177639239	0.0
templates-2dF_OBall/B0.5-II-2dF0837.dat	HeI/4009	0.365551552216	0.0	-0.333752602581	0.0
templates-2dF_OBall/B0.5-II-2dF0837.dat	HeI/4026	0.826154760019	0.0	-0.756964417983	0.0
templates-2dF_OBall/B0.5-II-2dF0837.dat	SiIV/4088	0.122514996703	0.0	-0.111508735183	0.0
templates-2dF_OBall/B0.5-II-2dF0837.dat	SiIV/4116	0.0172562526706	0.0	-0.0155799260436	0.0
templates-2dF_OBall/B0.5-II-2dF0837.dat	HeI/4121	0.359671551674	0.0	-0.324168749633	0.0
templates-2dF_OBall/B0.5-II-2dF0837.dat	SiII/4130	0.0619835673722	0.0	-0.055727740608	0.0
templates-2dF_OBall/B0.5-II-2dF0837.dat	HeI/4144	0.413137442388	0.0	-0.369823408923	0.0
templates-2dF_OBall/B0.5-II-2dF0837.dat	HeII/4200	0.204190941216	0.0	-0.183141541097	0.0
templates-2dF_OBall/B0.5-II-2dF0837.dat	FeII/4233	0.00323405747218	0.0	-0.00293308048393	0.0
templates-2dF_OBall/B0.5-II-2dF0837.dat	HeI/4387	0.51947061266	0.0	-0.459411762763	0.0
templates-2dF_OBall/B0.5-II-2dF0837.dat	OII/4416	0.155424289409	0.0	-0.135982571067	0.0
templates-2dF_OBall/B0.5-II-2dF0837.dat	HeI/4471	0.716470905661	0.0	-0.634247648054	0.0
templates-2dF_OBall/B0.5-II-2dF0837.dat	MgII/4481	0.00381209192935	0.0	-0.0034030576547	0.0
templates-2dF_OBall/B0.5-II-2dF0837.dat	HeII/4541	-0.0676655251178	0.0	0.0619940737115	0.0
templates-2dF_OBall/B0.5-II-2dF0837.dat	SiIII/4553	0.0898920885986	0.0	-0.0825344894012	0.0
templates-2dF_OBall/B0.5-II-2dF0837.dat	OII+CIII/4645	0.530461015429	0.0	-0.485048906008	0.0
templates-2dF_OBall/B0.5-II-2dF0837.dat	HeII/4686	0.275456259387	0.0	-0.248787286994	0.0
templates-2dF_OBall/B0.5-III-2dF0700.dat	CaIIK/3928	0.156998079264	0.0	-0.142081164363	0.0
templates-2dF_OBall/B0.5-III-2dF0700.dat	HeI/4009	0.411245472803	0.0	-0.379136962693	0.0
templates-2dF_OBall/B0.5-III-2dF0700.dat	HeI/4026	0.718639263015	0.0	-0.664523040057	0.0
templates-2dF_OBall/B0.5-III-2dF0700.dat	SiIV/4088	0.320235403402	0.0	-0.293570129603	0.0
templates-2dF_OBall/B0.5-III-2dF0700.dat	SiIV/4116	0.0947722003898	0.0	-0.0861052424494	0.0
templates-2dF_OBall/B0.5-III-2dF0700.dat	HeI/4121	0.244640115265	0.0	-0.221838712283	0.0
templates-2dF_OBall/B0.5-III-2dF0700.dat	SiII/4130	-0.0155489329398	0.0	0.014061088306	0.0
templates-2dF_OBall/B0.5-III-2dF0700.dat	HeI/4144	0.263130929115	0.0	-0.236799027186	0.0
templates-2dF_OBall/B0.5-III-2dF0700.dat	HeII/4200	0.258621988627	0.0	-0.232107794109	0.0
templates-2dF_OBall/B0.5-III-2dF0700.dat	FeII/4233	-0.0474776446679	0.0	0.0428893003133	0.0
templates-2dF_OBall/B0.5-III-2dF0700.dat	HeI/4387	0.37786714075	0.0	-0.352434014065	0.0
templates-2dF_OBall/B0.5-III-2dF0700.dat	OII/4416	0.152989416914	0.0	-0.142682132267	0.0
templates-2dF_OBall/B0.5-III-2dF0700.dat	HeI/4471	0.671615378167	0.0	-0.607781097293	0.0
templates-2dF_OBall/B0.5-III-2dF0700.dat	MgII/4481	0.259014104121	0.0	-0.234453284078	0.0
templates-2dF_OBall/B0.5-III-2dF0700.dat	HeII/4541	0.0232480871164	0.0	-0.0210276703624	0.0
templates-2dF_OBall/B0.5-III-2dF0700.dat	SiIII/4553	0.148810232788	0.0	-0.134522273961	0.0
templates-2dF_OBall/B0.5-III-2dF0700.dat	OII+CIII/4645	0.660657187224	0.0	-0.600455755216	0.0
templates-2dF_OBall/B0.5-III-2dF0700.dat	HeII/4686	0.135708861685	0.0	-0.123514942793	0.0
templates-2dF_OBall/B0.5-III-2dF1305.dat	CaIIK/3928	0.277413892846	0.0	-0.256529365009	0.0
templates-2dF_OBall/B0.5-III-2dF1305.dat	HeI/4009	0.382047113156	0.0	-0.346710372989	0.0
templates-2dF_OBall/B0.5-III-2dF1305.dat	HeI/4026	0.922910385255	0.0	-0.837467162629	0.0
templates-2dF_OBall/B0.5-III-2dF1305.dat	SiIV/4088	0.147809709094	0.0	-0.134169564766	0.0
templates-2dF_OBall/B0.5-III-2dF1305.dat	SiIV/4116	0.108263891746	0.0	-0.0983045851636	0.0
templates-2dF_OBall/B0.5-III-2dF1305.dat	HeI/4121	0.253485817575	0.0	-0.230183190606	0.0
templates-2dF_OBall/B0.5-III-2dF1305.dat	SiII/4130	-0.0338013964954	0.0	0.0306970608975	0.0
templates-2dF_OBall/B0.5-III-2dF1305.dat	HeI/4144	0.403494771887	0.0	-0.366500479309	0.0
templates-2dF_OBall/B0.5-III-2dF1305.dat	HeII/4200	0.169297624902	0.0	-0.153633874648	0.0
templates-2dF_OBall/B0.5-III-2dF1305.dat	FeII/4233	0.0257098441032	0.0	-0.0232969806248	0.0
templates-2dF_OBall/B0.5-III-2dF1305.dat	HeI/4387	0.612712408598	0.0	-0.555298647155	0.0
templates-2dF_OBall/B0.5-III-2dF1305.dat	OII/4416	0.0421456878572	0.0	-0.0382750270131	0.0
templates-2dF_OBall/B0.5-III-2dF1305.dat	HeI/4471	0.747645713541	0.0	-0.675687672032	0.0
templates-2dF_OBall/B0.5-III-2dF1305.dat	MgII/4481	0.143059656217	0.0	-0.1294352346	0.0
templates-2dF_OBall/B0.5-III-2dF1305.dat	HeII/4541	0.0814931213462	0.0	-0.073940387814	0.0
templates-2dF_OBall/B0.5-III-2dF1305.dat	SiIII/4553	0.095326328075	0.0	-0.0864927439429	0.0
templates-2dF_OBall/B0.5-III-2dF1305.dat	OII+CIII/4645	0.185144587349	0.0	-0.168991398811	0.0
templates-2dF_OBall/B0.5-III-2dF1305.dat	HeII/4686	0.255114712567	0.0	-0.233009618856	0.0
