T,Z
3.20000005,8.73
3.20000005,8.65
3.0,8.67
4.0,8.81
3.20000005,8.76
5.30000019,8.74
4.0,8.66
4.0999999,8.74
5.9000001,8.67
-4.9000001,8.68
2.29999995,8.8
-0.800000012,8.54
5.0,8.78
-4.69999981,8.45
4.0999999,8.55
6.0,8.55
5.80000019,8.68
1.10000002,8.73
3.0,8.86
-0.100000001,8.74
3.29999995,8.61
-0.800000012,8.74
6.0,8.75
2.9000001,8.87
4.0,8.75
3.0999999,8.61
5.5999999,8.56
5.9000001,8.61
3.0999999,8.71
3.0999999,8.79
5.9000001,8.91
3.70000005,8.71
5.19999981,8.69
6.0,8.41
1.10000002,8.72
4.0,8.87
5.80000019,8.72
6.0999999,8.59
5.19999981,8.77
7.0,8.67
8.69999981,8.49
3.0,8.67
-4.80000019,8.68
5.9000001,8.71
3.0999999,8.76
5.80000019,8.74
4.0,8.75
4.0,8.66
2.0,8.66
3.0999999,8.72
2.0,8.7
1.79999995,8.65
2.0999999,8.69
5.9000001,8.63
-2.79999995,8.56
3.0,8.8
0.300000012,8.75
3.70000005,8.6
-2.0,8.34
4.0,8.78
5.19999981,8.76
9.69999981,8.42
9.0,8.42
5.80000019,8.57
8.80000019,8.54
5.9000001,8.61
8.80000019,8.29
9.60000038,8.42
9.89999962,8.29
5.30000019,8.76
9.89999962,8.3
4.0999999,8.64
6.5999999,8.38
9.89999962,8.1
5.0,8.58
3.0,8.77
9.89999962,7.94
7.80000019,8.48
9.89999962,8.23
5.9000001,8.68
3.0999999,8.77
8.10000038,8.34
9.89999962,8.44
9.89999962,8.37
7.80000019,8.32
6.9000001,8.72
7.0999999,8.38
9.89999962,8.27
9.80000019,8.46
6.0,8.28
-1.79999995,8.83
1.20000005,8.52
6.4000001,8.74
4.0,8.66
-0.200000003,8.69
7.9000001,8.58
5.80000019,8.74
7.80000019,8.8
9.69999981,8.3
9.80000019,8.29
5.0999999,8.62
-4.80000019,8.72
9.89999962,8.3
9.89999962,8.37
9.89999962,8.09
9.89999962,8.37
7.69999981,8.29
8.80000019,8.57
5.30000019,8.73
9.89999962,8.34
5.19999981,8.91
2.0999999,8.51
3.0999999,8.75
9.80000019,8.55
9.80000019,8.42
6.5,8.56
-5.0,8.29
6.0,8.68
7.9000001,8.51
7.0999999,8.57
5.0999999,8.68
8.0,8.69
5.9000001,8.73
4.19999981,8.69
7.9000001,8.56
7.9000001,8.56
3.9000001,8.79
9.89999962,8.29
6.5,8.17
9.89999962,8.27
5.0999999,8.82
9.89999962,8.43
9.19999981,8.29
5.9000001,8.58
9.60000038,8.5
-1.20000005,8.54
6.0,8.63
6.0999999,8.39
9.80000019,8.21
