# ID,H_BETA_FLUX,H_BETA_FLUX_ERR,OIII_5007_FLUX,OIII_5007_FLUX_ERR,NII_6548_FLUX,NII_6548_FLUX_ERR,H_ALPHA_FLUX,H_ALPHA_FLUX_ERR,NII_6584_FLUX,NII_6584_FLUX_ERR,SII_6717_FLUX,SII_6717_FLUX_ERR,AGN,COMPOSITE
36231,15.455527,1.8196013,5.5459757,1.9414775,11.328987,0.6552861,67.79678,2.305529,34.17084,1.9764919,20.915741,1.8330843,false,true
36469,129.90456,17.948967,73.70083,12.275665,43.066063,6.2398376,184.68015,25.731937,129.89719,18.820772,16.543758,14.538744,false,true
36470,36.49901,7.068267,52.99734,7.590057,52.03834,3.6170201,116.79119,10.613226,156.95964,10.909757,38.50679,9.204819,false,true
36487,122.18371,21.039465,58.48814,21.581839,11.77298,20.051659,95.07033,63.774006,35.510025,60.480366,-31.83429,39.902367,false,true
36566,48.62408,11.262544,62.108143,12.910522,9.253445,5.4727445,75.88174,17.162886,27.910524,16.507042,-11.497017,19.068192,false,true
37809,22.091022,1.6272877,9.395594,1.4466873,3.5363338,0.38366795,71.10874,1.8867594,10.666399,1.1572298,11.08297,1.1447839,false,true
38150,47.248703,3.6378598,15.955006,3.8717322,35.957756,1.7663621,249.49832,6.097844,108.45689,5.32775,50.397457,4.5129457,false,true
38349,53.226902,8.048482,39.523632,8.506679,38.831585,4.6552706,197.19826,14.325278,117.12502,14.041357,21.230524,11.249864,false,true
38361,214.7287,5.7963014,31.186527,5.0756416,107.92134,2.7886593,1069.8097,13.538223,325.5157,8.411231,151.97711,7.017041,false,true
38387,18.127274,11.957592,35.657143,12.469238,8.839654,6.2588696,49.24956,19.648626,26.662436,18.878176,-14.791267,21.120327,false,true
38407,49.2855,4.7025766,31.58417,4.705798,87.79249,2.5383713,257.22156,7.6929564,264.80243,7.656306,65.566574,6.203173,false,true
38503,608.81946,11.2317505,2424.61,25.94278,333.07916,5.3397284,2442.0332,27.283766,1004.6437,16.105837,1009.07666,17.504913,false,true
38508,35.37253,7.0489335,16.420557,10.355959,9.603476,4.7549043,108.80797,10.011449,28.966301,14.341874,10.789109,12.884716,false,true
38850,36.723194,5.9881105,78.70481,7.5405703,10.682241,2.5181797,82.82127,8.302003,32.220104,7.5954037,26.086449,7.6654296,false,true
38890,68.47153,13.959639,155.51875,16.566412,124.45227,8.064159,273.93567,22.9103,375.37677,24.32334,140.20734,21.419245,false,true
39206,193.234,5.044224,69.08131,4.4657245,115.10756,2.346497,1006.2126,12.418819,347.19095,7.0775685,230.56456,6.4871936,false,true
39384,191.8363,15.630369,274.83713,16.149189,123.25445,8.014011,536.1171,27.47903,371.76385,24.172081,242.56802,23.438398,false,true
39660,31.307081,6.3733535,-30.906662,15.566643,18.075918,6.5589166,46.590153,8.271874,54.521145,19.783186,-33.365067,27.397709,false,true
39904,179.6184,4.314071,323.07382,6.168784,24.355373,0.93658197,536.11597,6.558504,73.461426,2.8249445,102.42438,3.19213,false,true
39922,74.31921,8.058222,118.84708,10.592008,54.195328,4.4245386,187.64749,11.871273,163.46562,13.345415,44.714302,11.290658,false,true
40086,96.78661,4.884583,22.74875,4.115436,45.609837,1.7908652,337.23444,6.7181597,137.56981,5.401657,71.39937,4.637145,false,true
40425,-2.4224534,2.1803164,-3.2174895,2.545524,1.371214,0.9183404,6.540274,2.3904622,4.135898,2.7699234,-3.861158,2.640623,false,true
40736,565.29016,8.742156,84.477135,5.542024,391.98483,3.6678169,2363.8745,20.309855,1182.3168,11.06297,283.75708,6.9569087,false,true
40713,48.070305,8.73253,102.74007,9.031628,77.24188,4.36702,175.9141,14.146535,232.97934,13.1719265,83.778465,11.621059,false,true
40984,240.54097,7.236693,167.8518,7.3543835,230.54114,4.0143013,867.5394,13.2357235,695.36523,12.1080475,289.91605,10.164739,false,true
41652,44.397045,8.788356,22.240925,9.84891,10.00447,3.9166322,118.991974,10.278458,30.17579,11.813455,-7.854127,11.502648,false,true
41975,160.02126,28.99076,154.18846,30.00702,45.06506,21.963942,101.57633,69.90894,135.92662,66.24825,-12.373719,57.032806,false,true
42020,258.12842,4.1959214,646.0141,7.2018876,38.15556,0.87910175,742.5091,6.8334036,115.085976,2.6515708,198.67537,3.4619415,false,true
