Table 2
Low-redshift Sample

Name (1)	f_x, (10^-11 cgs) (2)	z^a (3)	L_X, (erg s^-1) (4)	T_X (keV) (5)	M_Y (10^14 M_sun) (6)	M_G (10^14 M_sun) (7)	M_T (10^14 M_sun) (8)	Merger? (9)	
A 1650	1.53	0.0823	2.33 x 10^44	5.29 +or- 0.17	4.59 +or- 0.11	4.78 +or- 0.10	4.39 +or- 0.21	 ... 	
A 3822	1.48	0.0760	1.91 x 10^44	5.23 +or- 0.30	4.63 +or- 0.18	4.50 +or- 3.91	4.98 +or- 0.43	check	
S 1101	1.46	0.0564	1.03 x 10^44	2.44 +or- 0.08	1.57 +or- 0.03	1.99 +or- 0.05	1.36 +or- 0.07	 ... 	
A 2163	1.38	0.2030	1.37 x 10^45	14.72 +or- 0.31	21.98 +or- 0.31	24.17 +or- 0.34	22.83 +or- 0.72	check	
Zw Cl1215	1.38	0.0767	1.80 x 10^44	6.54 +or- 0.21	5.75 +or- 0.12	5.32 +or- 0.10	6.10 +or- 0.29	 ... 	
RX J1504	1.35	0.2169	1.56 x 10^45	9.89 +or- 0.53	10.07 +or- 0.35	9.01 +or- 0.20	10.70 +or- 0.86	 ... 	
A 2597	1.35	0.0830	2.09 x 10^44	3.87 +or- 0.11	2.84 +or- 0.06	3.03 +or- 0.06	2.72 +or- 0.12	 ... 	
A 133	1.35	0.0569	9.60 x 10^43	4.01 +or- 0.11	2.57 +or- 0.05	2.37 +or- 0.04	2.91 +or- 0.12	 ... 	
A 2244	1.34	0.0989	2.98 x 10^44	5.37 +or- 0.12	5.11 +or- 0.08	5.80 +or- 0.10	4.46 +or- 0.15	 ... 	
A 3376	1.31	0.0455	5.89 x 10^43	4.37 +or- 0.13	3.01 +or- 0.07	2.53 +or- 0.06	3.84 +or- 0.17	check	

Notes. Columns 3-9 have the same meaning as in Table 1. Column 2 gives the total flux (0.5-2 keV) from the best source available (Chandra if cluster the cluster is at sufficiently high redshift to fit the field of view, ROSAT PSPC pointing, and remeasurement from the All-Sky survey data as a last resort).
a Redshifts were converted to the CMB reference frame.
